x   l1                 l2                 l3                 l4
1   0.001043841336117  0.001043841336117  0.001043841336117  0.001479289940828
2   0.002087682672234  0.002087682672234  0.001043841336117  0.001479289940828
3   0.161795407098121  0.103340292275574  0.002087682672234  0.001479289940828
4   0.612734864300626  0.144050104384134  0.143006263048017  0.001479289940828
5   0.922755741127349  0.266179540709812  0.37160751565762   0.001479289940828
6   0.984342379958246  0.583507306889353  0.65553235908142   0.001479289940828
7   0.997912317327766  0.719206680584551  0.775574112734864  0.001479289940828
8   1                  0.879958246346555  0.859081419624217  0.001479289940828
9   1                  0.95615866388309   0.917536534446764  0.001479289940828
10  1                  0.981210855949896  0.949895615866388  0.001479289940828
11  1                  0.991649269311065  0.96972860125261   0.001479289940828
12  1                  0.996868475991649  0.985386221294363  0.001479289940828
13  1                  0.998956158663883  0.990605427974948  0.001479289940828
14  1                  1                  0.992693110647182  0.002958579881657
15  1                  1                  0.996868475991649  0.056213017751479
16  1                  1                  0.997912317327766  0.081360946745562
17  1                  1                  0.997912317327766  0.103550295857988
18  1                  1                  1                  0.178994082840237
19  1                  1                  1                  0.232248520710059
20  1                  1                  1                  0.39792899408284
21  1                  1                  1                  0.5
22  1                  1                  1                  0.646449704142012
23  1                  1                  1                  0.766272189349112
24  1                  1                  1                  0.849112426035503
25  1                  1                  1                  0.93491124260355
26  1                  1                  1                  1
