x     l1                   l2                   l3                   l4
1     0.000948766603416    0.000948766603416    0.000948766603416    0.000965250965251
2     0.026565464895636    0.002846299810247    0.001897533206831    0.001930501930502
3     0.422201138519924    0.316888045540797    0.021821631878558    0.044401544401544
4     0.704933586337761    0.583491461100569    0.109108159392789    0.102316602316602
5     0.94876660341556     0.834914611005693    0.224857685009488    0.172779922779923
6     0.986717267552182    0.935483870967742    0.360531309297913    0.257722007722008
7     0.995256166982922    0.971537001897533    0.502846299810247    0.336872586872587
8     0.998102466793169    0.988614800759013    0.649905123339658    0.428571428571429
9     1                    0.997153700189753    0.768500948766603    0.532818532818533
10    1                    0.999051233396584    0.851992409867173    0.631274131274131
11    1                    0.999051233396584    0.89753320683112     0.706563706563707
12    1                    1                    0.938330170777989    0.765444015444015
13    1                    1                    0.962998102466793    0.808880308880309
14    1                    1                    0.976280834914611    0.854247104247104
15    1                    1                    0.986717267552182    0.886100386100386
16    1                    1                    0.989563567362429    0.920849420849421
17    1                    1                    0.996204933586338    0.935328185328185
18    1                    1                    0.998102466793169    0.946911196911197
19    1                    1                    0.999051233396584    0.956563706563707
20    1                    1                    0.999051233396584    0.969111969111969
21    1                    1                    1                    0.972972972972973
22    1                    1                    1                    0.982625482625483
23    1                    1                    1                    0.989382239382239
24    1                    1                    1                    0.992277992277992
25    1                    1                    1                    0.995173745173745
26    1                    1                    1                    1
